217991b5-f343-4bdd-a787-ce4ef930468f,Luxury Yellow Shirt,A plain yellow T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,5.99,Yellow,Shirts,0,0
377e85de-9632-4db1-be1b-e373b9db2d5b,Luxury Black Shirt,A plain black T-shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,7.99,Black,Shirts,1,1
4dbb03ac-675c-448b-b888-ca331484f43b,Luxury Brown Shirt,A plain brown T-shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Brown,Shirts,1,0
5b171dae-df8d-409b-8fb3-dc9e7aad9207,White Polo Shirt,A white polo shirt great for outdoor wear and casual events. Comes in a range of sizes.,10.99,White/Light Grey,Polo Shirts,1,0
5e46ce7d-c52f-47e4-a16c-3f548d92889c,Blue Trousers,These trousers are high quality and stretch for a good fitting.,19.99,Blue,Formal,1,1
6d64cb99-9960-4163-acf8-9201a7f09622,Luxury White Shirt,A plain white T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,8.99,White,Shirts,1,0
6fd7a901-6275-45a4-9a9b-42e266a33706,Luxury Dark Grey Shirt,A plain dark grey T-shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,7.99,Dark Grey,Shirts,0,0
70675c27-6989-4c07-b470-4ae723d9a830,Blue Blazer,"A great, high quality blazer great for any smart occasion. Comes in a range of sizes.",39.99,Blue,Formal,1,1
8d91fb19-9bfe-4e03-bd5e-0ab7dde4ca9a,Luxury Gold Shirt,A plain gold T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Gold,Shirts,1,0
9258ade5-58d0-4061-8919-75e1b42bf7e7,Luxury Grey Shirt,A plain grey T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Grey,Shirts,1,0
94ec1c57-cff6-4b54-83d2-8f1e845fe74a,Black Blazer,A tailored and comfortable fit for any individual wanting to look the part for a smart event. Comes in a range of sizes.,44.99,Black,Formal,1,0
99395b5e-3645-405d-9a5a-7bfec5d348f9,Luxury Royal Blue Shirt,A plain royal blue T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Royal Blue,Shirts,0,0
a235d064-7d76-4656-ba85-baa83262ff78,Luxury Sky Blue Shirt,A plain sky blue T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Sky Blue,Shirts,1,1
be6dd46f-30ff-47ea-a4fe-6c21aac4afaa,Luxury Green Shirt,A plain green T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Green,Shirts,0,0
d4f8463d-351b-427d-84a1-07f57d40695c,Luxury Orange Shirt,A plain orange T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,5.99,Orange,Shirts,1,1
e246a7fa-2994-4f13-9d18-3b998323343c,Luxury Red Shirt,A plain red T-Shirt made with luxurious Egyptian cotton. Comes in a range of sizes.,6.99,Red,Shirts,1,0
fc05267d-7bdc-4624-8d86-998721a34182,Black Trousers,These trousers are high quality and stretch for a good fitting.,24.99,Black,Formal,1,0